"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","role","averageRating","numVotes"
"tt0117110","movie","Muppet Treasure Island","Muppet Treasure Island",0,1996,"\N","99","Action,Adventure,Comedy","soundtrack",6.9,25874
"tt0117372","movie","The Preacher's Wife","The Preacher's Wife",0,1996,"\N","123","Comedy,Drama,Fantasy","composer",5.7,13216
"tt0117373","movie","Precious Find","Precious Find",0,1996,"\N","90","Adventure,Sci-Fi,Western","thanks",3.7,622
"tt0117500","movie","The Rock","The Rock",0,1996,"\N","136","Action,Adventure,Thriller","music department",7.4,352522
"tt0117500","movie","The Rock","The Rock",0,1996,"\N","136","Action,Adventure,Thriller","composer",7.4,352522
"tt0117999","movie","Two Deaths","Two Deaths",0,1995,"\N","102","Drama,War","composer",6.3,514
"tt0118158","movie","White Squall","White Squall",0,1996,"\N","129","Adventure,Drama","music department",6.6,25009
"tt0118163","movie","The Whole Wide World","The Whole Wide World",0,1996,"\N","111","Biography,Drama,Romance","composer",7,3937
"tt0118163","movie","The Whole Wide World","The Whole Wide World",0,1996,"\N","111","Biography,Drama,Romance","additional crew",7,3937
"tt0118346","tvSeries","The Hunger","The Hunger",0,1997,"2000","24","Drama,Fantasy,Horror","soundtrack",6.2,1092
"tt0118755","movie","The Borrowers","The Borrowers",0,1997,"\N","89","Adventure,Comedy,Family","music department",5.9,23257
"tt0119094","movie","Face/Off","Face/Off",0,1997,"\N","138","Action,Crime,Sci-Fi","music department",7.3,393718
"tt0119101","tvSeries","Fame L.A.","Fame L.A.",0,1997,"1998","60","Drama","music department",5.5,246
"tt0119527","movie","Deceiver","Deceiver",0,1997,"\N","106","Crime,Drama,Mystery","music department",6.5,6934
"tt0119692","movie","With Friends Like These","With Friends Like These...",0,1998,"\N","105","Comedy","music department",5.9,621
"tt0119822","movie","As Good as It Gets","As Good as It Gets",0,1997,"\N","139","Comedy,Drama,Romance","music department",7.7,312974
"tt0119822","movie","As Good as It Gets","As Good as It Gets",0,1997,"\N","139","Comedy,Drama,Romance","composer",7.7,312974
"tt0119822","movie","As Good as It Gets","As Good as It Gets",0,1997,"\N","139","Comedy,Drama,Romance","soundtrack",7.7,312974
"tt0119874","movie","The Peacemaker","The Peacemaker",0,1997,"\N","124","Action,Drama,Thriller","composer",6,60749
"tt0120082","movie","Scream 2","Scream 2",0,1997,"\N","120","Horror,Mystery","soundtrack",6.3,205265
"tt0120152","movie","Smilla's Sense of Snow","Smilla's Sense of Snow",0,1997,"\N","121","Crime,Drama,Mystery","music department",6.3,14968
"tt0120152","movie","Smilla's Sense of Snow","Smilla's Sense of Snow",0,1997,"\N","121","Crime,Drama,Mystery","composer",6.3,14968
"tt0120587","movie","Antz","Antz",0,1998,"\N","83","Adventure,Animation,Comedy","music department",6.5,161675
"tt0120630","movie","Chicken Run","Chicken Run",0,2000,"\N","84","Adventure,Animation,Comedy","thanks",7.1,204074
"tt0120659","movie","Endurance","Endurance",0,1998,"\N","83","Biography,Drama,Sport","music department",6.3,439
