"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","role","averageRating","numVotes"
"tt15292806","tvSpecial","Attack of the Hollywood Cliches!","Attack of the Hollywood Cliches!",0,2021,"\N","58","Comedy,Documentary","self",6.1,4405
"tt15354966","movie","Lovers","Lovers",0,2020,"\N","72","Action,Comedy,Drama","music department",8.5,10
"tt1568328","movie","Enemies of the People","Enemies of the People",0,2009,"\N","93","Documentary","composer",7.7,546
"tt1574503","tvSeries","Commanders at War","Generals at War",0,2009,"\N","\N","Documentary,History,War","composer",8,142
"tt1612560","videoGame","Lego Star Wars III: The Clone Wars","Lego Star Wars III: The Clone Wars",0,2011,"\N","\N","Action,Adventure,Comedy","composer",7.6,2075
"tt16371468","tvEpisode","Being the Ricardos","Being the Ricardos",0,2021,"\N","\N","Talk-Show","composer",6.1,29
"tt1638355","movie","The Man from U.N.C.L.E.","The Man from U.N.C.L.E.",0,2015,"\N","116","Action,Adventure,Comedy","composer",7.2,326223
"tt1663344","videoGame","LittleBigPlanet 2","LittleBigPlanet 2",0,2011,"\N","\N","Adventure,Fantasy","soundtrack",8.2,1150
"tt1682815","tvSeries","The Sorcerer's Apprentice","The Sorcerer's Apprentice",0,2007,"\N","\N","Family,Reality-TV","music department",6.9,13
"tt1702425","movie","Casa de mi Padre","Casa de mi padre",0,2012,"\N","85","Comedy,Western","soundtrack",5.5,21501
"tt1732159","movie","Self Made","Self Made",0,2010,"\N","88","Documentary","composer",7,59
"tt1748226","short","The Coldest Caller","The Coldest Caller",0,2011,"\N","4","Comedy,Short","music department",6.6,30
"tt1751231","tvSeries","Nigella Kitchen","Nigella Kitchen",0,2010,"\N","\N","Documentary","music department",7.6,64
"tt1782013","tvSeries","Combat Kids","Combat Kids",0,2010,"\N","90","Family,Fantasy","composer",7.6,20
"tt1782352","tvSeries","Upstairs Downstairs","Upstairs Downstairs",0,2010,"2012","60","Drama","composer",7.4,6649
"tt1782352","tvSeries","Upstairs Downstairs","Upstairs Downstairs",0,2010,"2012","60","Drama","soundtrack",7.4,6649
"tt1784432","short","Factory Farmed","Factory Farmed",0,2008,"\N","5","Sci-Fi,Short","composer",5.7,225
"tt1850984","movie","Between Life and Death","Between Life and Death",0,2010,"\N","51","Documentary","composer",7.6,36
"tt1878991","tvMovie","Meet the Elephant Man","Meet the Elephant Man",0,2011,"\N","\N","Documentary,History","music department",6.6,21
"tt18814244","tvSeries","Amsterdam","Amsterdam",0,2022,"\N","35","Comedy,Romance","composer",7.2,369
"tt18814244","tvSeries","Amsterdam","Amsterdam",0,2022,"\N","35","Comedy,Romance","soundtrack",7.2,369
"tt18989558","tvEpisode","Amsterdam","Amsterdam",0,2022,"\N","\N","Comedy,Romance","composer",6.6,21
"tt18989558","tvEpisode","Amsterdam","Amsterdam",0,2022,"\N","\N","Comedy,Romance","soundtrack",6.6,21
"tt1932099","tvSeries","Long Lost Family","Long Lost Family",0,2011,"\N","\N","Reality-TV","music department",8.2,241
"tt1972591","movie","King Arthur: Legend of the Sword","King Arthur: Legend of the Sword",0,2017,"\N","126","Action,Adventure,Drama","composer",6.7,227889
"tt1972591","movie","King Arthur: Legend of the Sword","King Arthur: Legend of the Sword",0,2017,"\N","126","Action,Adventure,Drama","music department",6.7,227889
"tt1972591","movie","King Arthur: Legend of the Sword","King Arthur: Legend of the Sword",0,2017,"\N","126","Action,Adventure,Drama","soundtrack",6.7,227889
"tt2002794","tvMovie","Space Dive","Space Dive",0,2012,"\N","90","Documentary","composer",7.3,343
"tt2033953","videoGame","Battalion Wars 2","Battalion Wars 2",0,2007,"\N","\N","Action,Family,Thriller","thanks",7.2,15
"tt2080374","movie","Steve Jobs","Steve Jobs",0,2015,"\N","122","Biography,Drama","composer",7.2,176087
"tt2080374","movie","Steve Jobs","Steve Jobs",0,2015,"\N","122","Biography,Drama","music department",7.2,176087
"tt2080374","movie","Steve Jobs","Steve Jobs",0,2015,"\N","122","Biography,Drama","soundtrack",7.2,176087
"tt2148433","tvMiniSeries","Public Enemies","Public Enemies",0,2012,"2012","60","Crime,Drama","composer",7,756
"tt2188249","tvSeries","Prisoners Wives","Prisoners Wives",0,2012,"2013","60","Drama","composer",7.6,1071
"tt2193215","movie","The Counselor","The Counselor",0,2013,"\N","117","Action,Adventure,Crime","composer",5.4,104534
"tt2195046","short","The Tortoise","The Tortoise",0,2012,"\N","10","Adventure,Animation,Comedy","composer",6.4,8
"tt2200889","tvSeries","Underworld: Flooded Kingdoms of the Ice Age","Underworld: Flooded Kingdoms of the Ice Age",0,2002,"2002","\N","Documentary","composer",8.2,43
"tt2224119","tvMovie","Complicit","Complicit",0,2013,"\N","99","Drama,Thriller","composer",6.2,786
"tt2239949","tvSeries","Pramface","Pramface",0,2012,"2014","\N","Comedy","composer",7.5,2643
"tt22442220","tvEpisode","Amsterdam","Amsterdam",0,2022,"\N","\N","Talk-Show","composer",8.2,30
"tt22442220","tvEpisode","Amsterdam","Amsterdam",0,2022,"\N","\N","Talk-Show","soundtrack",8.2,30
"tt2249786","movie","50 Kisses","50 Kisses",0,2014,"\N","89","Comedy,Drama,Horror","music department",6.4,204
"tt2303367","tvSeries","Dirk Gently","Dirk Gently",0,2010,"2012","58","Comedy,Crime,Mystery","composer",7.6,3438
"tt23218196","tvEpisode","Enola Holmes 2","Enola Holmes 2",0,2022,"\N","\N","Talk-Show","composer",7.9,47
"tt23218196","tvEpisode","Enola Holmes 2","Enola Holmes 2",0,2022,"\N","\N","Talk-Show","actor",7.9,47
"tt2337190","tvMovie","Escape from Colditz","Escape from Colditz",0,2012,"\N","72","Documentary,War","composer",7,6
"tt2382598","tvMiniSeries","Ambassadors","Ambassadors",0,2013,"2013","\N","Comedy,Drama","composer",7.4,1859
"tt2386231","short","Ghost Recon: Alpha","Ghost Recon: Alpha",0,2012,"\N","23","Action,Sci-Fi,Short","composer",7.4,3182
"tt2386231","short","Ghost Recon: Alpha","Ghost Recon: Alpha",0,2012,"\N","23","Action,Sci-Fi,Short","music department",7.4,3182
"tt2390237","movie","Cuban Fury","Cuban Fury",0,2014,"\N","98","Comedy,Romance,Sport","composer",6.2,19780
"tt2390237","movie","Cuban Fury","Cuban Fury",0,2014,"\N","98","Comedy,Romance,Sport","soundtrack",6.2,19780
"tt2506388","movie","Mademoiselle C","Mademoiselle C",0,2013,"\N","93","Documentary","soundtrack",5.6,664
"tt2608220","tvMovie","The Vatican","The Vatican",0,2013,"\N","\N","Drama,Thriller","composer",6.7,135
"tt26745455","tvEpisode","Spider-Man: Across the Spider-Verse","Spider-Man: Across the Spider-Verse",0,2023,"\N","\N","Comedy","composer",7.1,14
"tt2718440","movie","Moonwalkers","Moonwalkers",0,2015,"\N","96","Action,Comedy","soundtrack",6.1,9765
"tt27857392","tvEpisode","Spider-Man: Across the Spider-Verse","Spider-Man: Across the Spider-Verse",0,2023,"\N","\N","Talk-Show","composer",8.9,50
"tt2934896","short","Complicit","Complicit",0,2013,"\N","5","Animation,Drama,Short","composer",5.9,7
"tt2976152","tvMiniSeries","The Lost World of Communism","The Lost World of Communism",0,2009,"\N","\N","Documentary","composer",7.6,74
"tt3125818","video","Man of Steel XXX: An Axel Braun Parody","Man of Steel XXX: An Axel Braun Parody",1,2013,"\N","106","Adult,Fantasy","soundtrack",5.5,58
"tt3159736","tvMiniSeries","The Game","The Game",0,2014,"2015","59","Drama,Mystery,Thriller","composer",7.7,3460
"tt3168480","tvSeries","The Wonder of Dogs","The Wonder of Dogs",0,2013,"\N","\N","Documentary","music department",7.7,35
"tt3311752","video","Thor XXX: An Axel Braun Parody","Thor XXX: An Axel Braun Parody",1,2013,"\N","97","Adult","soundtrack",5.9,86
"tt3315020","tvSeries","Prey","Prey",0,2014,"2015","60","Crime,Drama,Thriller","composer",7.2,3524
"tt3315020","tvSeries","Prey","Prey",0,2014,"2015","60","Crime,Drama,Thriller","music department",7.2,3524
"tt3758542","movie","Ferrari","Ferrari",0,2023,"\N","130","Biography,Drama,History","composer",6.7,1097
"tt3794028","movie","From the Land of the Moon","Mal de pierres",0,2016,"\N","120","Drama,Romance","composer",6.6,6577
"tt3952030","short","One of a Kind","One of a Kind",0,2014,"\N","4","Animation,Family,Short","composer",4.7,19
"tt4209788","movie","Molly's Game","Molly's Game",0,2017,"\N","140","Biography,Crime,Drama","composer",7.4,183288
"tt4302580","tvEpisode","The Game","The Game",0,2014,"\N","1","Adventure,Animation,Comedy","composer",8.2,7
"tt4392854","short","Prey","Prey",0,2014,"\N","5","Adventure,Animation,Drama","composer",6.1,8
"tt4392854","short","Prey","Prey",0,2014,"\N","5","Adventure,Animation,Drama","music department",6.1,8
"tt4399942","tvSpecial","73rd Golden Globe Awards","73rd Golden Globe Awards",0,2016,"\N","\N","Comedy","self",7,967
"tt4523220","movie","Hounds of Zaroff","Hounds of Zaroff",0,2016,"\N","107","Action,Drama,Thriller","soundtrack",7.7,26
"tt4577556","tvSeries","Million Dollar American Princesses","Million Dollar American Princesses",0,2015,"\N","\N","History","soundtrack",7.7,173
"tt4585810","tvSeries","Lillemand","Lillemand",0,2015,"2016","25","Comedy","music department",7.3,167
"tt4633694","movie","Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse",0,2018,"\N","117","Action,Adventure,Animation","composer",8.4,639485
"tt4995540","movie","Being the Ricardos","Being the Ricardos",0,2021,"\N","131","Biography,Drama","composer",6.5,43831
"tt5062982","tvEpisode","Steve Jobs","Steve Jobs",0,2015,"\N","\N","Documentary,Short","composer",6.2,7
"tt5062982","tvEpisode","Steve Jobs","Steve Jobs",0,2015,"\N","\N","Documentary,Short","music department",6.2,7
"tt5062982","tvEpisode","Steve Jobs","Steve Jobs",0,2015,"\N","\N","Documentary,Short","soundtrack",6.2,7
"tt5164214","movie","Ocean's Eight","Ocean's Eight",0,2018,"\N","110","Action,Comedy,Crime","composer",6.3,236027
"tt5175450","movie","Mark Felt: The Man Who Brought Down the White House","Mark Felt: The Man Who Brought Down the White House",0,2017,"\N","103","Biography,Drama,History","composer",6.4,14411
"tt5294550","movie","All the Money in the World","All the Money in the World",0,2017,"\N","132","Biography,Crime,Drama","composer",6.8,89161
"tt5294550","movie","All the Money in the World","All the Money in the World",0,2017,"\N","132","Biography,Crime,Drama","music department",6.8,89161
"tt5822160","movie","Unexpected Journey","Saattokeikka",0,2017,"\N","78","Comedy,Drama","soundtrack",5.7,320
"tt5824900","tvSpecial","The 74th Annual Golden Globe Awards 2017","The 74th Annual Golden Globe Awards",0,2017,"\N","180","News","self",5.6,676
"tt5850144","tvSeries","Secrets of the Dead","Secrets of the Dead",0,1999,"\N","\N","Documentary,History,Mystery","music department",8.2,45
"tt5875444","tvSeries","Slow Horses","Slow Horses",0,2022,"\N","\N","Drama,Thriller","composer",7.9,47863
"tt5875444","tvSeries","Slow Horses","Slow Horses",0,2022,"\N","\N","Drama,Thriller","soundtrack",7.9,47863
"tt6905542","tvSeries","The Dark Crystal: Age of Resistance","The Dark Crystal: Age of Resistance",0,2019,"2019","60","Adventure,Family,Fantasy","composer",8.4,26510
"tt6945932","movie","Scarborough","Scarborough",0,2018,"\N","87","Drama,Romance","composer",5.7,828
"tt7058078","tvMovie","Sea Oak","Sea Oak",0,2017,"\N","32","Comedy","soundtrack",7,603
"tt7651892","tvMiniSeries","One Strange Rock","One Strange Rock",0,2018,"2018","47","Documentary","composer",8.7,8163
"tt7713068","movie","Birds of Prey","Birds of Prey and the Fantabulous Emancipation of One Harley Quinn",0,2020,"\N","109","Action,Comedy,Crime","composer",6.1,258038
"tt7713068","movie","Birds of Prey","Birds of Prey and the Fantabulous Emancipation of One Harley Quinn",0,2020,"\N","109","Action,Comedy,Crime","soundtrack",6.1,258038
"tt7740616","videoGame","Black Mirror","Black Mirror",0,2017,"\N","\N","Horror,Mystery,Thriller","composer",5.7,239
"tt7786820","tvEpisode","All the Money in the World","All the Money in the World",0,2017,"\N","\N","Comedy,Talk-Show","composer",7.8,13
"tt7786820","tvEpisode","All the Money in the World","All the Money in the World",0,2017,"\N","\N","Comedy,Talk-Show","music department",7.8,13
"tt7797634","videoGame","Knights and Bikes","Knights and Bikes",0,2019,"\N","\N","Adventure,Fantasy","composer",5.9,20
"tt7798320","tvEpisode","Molly's Game","Molly's Game",0,2017,"\N","\N","Comedy,Talk-Show","composer",8.4,12
"tt7846844","movie","Enola Holmes","Enola Holmes",0,2020,"\N","123","Action,Adventure,Crime","composer",6.6,211517
"tt8115900","movie","The Bad Guys","The Bad Guys",0,2022,"\N","100","Action,Adventure,Animation","composer",6.8,53552
"tt8115900","movie","The Bad Guys","The Bad Guys",0,2022,"\N","100","Action,Adventure,Animation","soundtrack",6.8,53552
