cname,tname,year,role,,,,
Danny Elfman,Mars Attacks!,1996,composer,6.4,"Comedy, Sci-Fi",Tim Burton,"It is a normal day for everyone, until President of the United States James Dale (Jack Nicholson) announces Martians have been spotted circling Earth. The Martians land and a meeting is arranged, but not everything goes to plan, and the Martians seem to have other plans for Earth. Are they just misunderstood beings or do they really want to destroy all of humanity?"
Danny Elfman,Extreme Measures,1996,composer,6.2,"Crime, Drama, Mystery, Thriller",Michael Apted,"Thriller about Guy Luthan (Hugh Grant), a British doctor working at a hospital in New York. He starts to make unwanted inquiries when the body of a man who died in his emergency room disappears. The trail leads Luthan to the door of eminent surgeon Dr. Lawrence Myrick (Gene Hackman), but Luthan soon finds himself in danger from people who want the hospital's secret to remain undiscovered."
Danny Elfman,Secrets of the Cryptkeeper's Haunted House,1996,composer,7.5,"Adventure, Comedy, Family, Game-Show, Horror, Reality-TV",,"Emmy winning reality game show hosted by Steve Saunders and the Cryptkeeper himself. Kids go on an incredible adventure as they race to find the treasure buried in the Cryptkeeper's Graveyard. The challenges are both real and virtual including a Shrinking Room, a Giant Abyss, and a practical three story Haunted House with dozens of secret passages. Along the way the adventurers face bubbling lava fields, flaming fireballs,and their own worst fears."
Danny Elfman,Nissan: Dream Garage,1996,composer,N/A,Short,Kinka Usher,N/A
Danny Elfman,The Frighteners,1996,composer,7.1,"Comedy, Fantasy, Horror",Peter Jackson,"After a tragic accident, Frank Bannister uses his new psychic powers to con people into ""exorcising"" their houses. But when an evil spirit appears, Frank may be the only one who can stop this ""Reaper"" that can kill both the living and dead."
Danny Elfman,Mission: Impossible,1996,composer,7.2,"Action, Adventure, Thriller",Brian De Palma,"Based on the hit television series. Jim Phelps (Jon Voight) was sent to Prague for a mission to prevent the theft of classified material. His wife Claire (Emmanuelle Béart) and his trusted partner Ethan Hunt (Tom Cruise) were members of Phelps' team. Unfortunately, something went horribly wrong and the mission failed, leaving Ethan Hunt the seemingly lone survivor. After he reported the failed mission, Kittridge (Henry Czerny), the head of the agency, suspects Ethan of being the culprit for the failed mission. Now, Ethan uses unorthodox methods (which includes the aid of an arms dealer going by the name ""Max"" (Vanessa Redgrave)) to try to find who set him up and to clear his name."
Danny Elfman,Freeway,1996,composer,6.8,"Crime, Drama, Thriller",Matthew Bright,"Little Red Riding Hood for the 1990's: After her mom and step-dad are arrested, 15-year-old Vanessa Lutz decides that instead of once again being put into a foster home, she'd rather go and search for the grandmother she's never met, and live with her. ""On the way to grandma's house,"" (actually a trailer park) Vanessa's car breaks down, and she's picked up from the side of the road by Bob Wolverton, a counselor at a school for troubled boys. Bob slowly earns Vanessa's trust, and eventually convinces her to talk about her sexual abuse at the hands of her stepfather. When Vanessa realizes that Bob is enjoying what she's saying, she realizes that he's ""The I-5 Killer,"" from the news. She tries to get out of his truck, but the inside door handle has been removed..."
Danny Elfman,Dead Presidents,1995,composer,6.9,"Action, Crime, Drama, Thriller, War","Albert Hughes, Allen Hughes","This action film, directed by the Hughes brothers, depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn."" However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960's."
Danny Elfman,To Die For,1995,composer,6.8,"Comedy, Crime, Drama, Thriller",Gus Van Sant,"Suzanne Stone (Kidman) knows exactly what she wants. She wants to be a television newscaster and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary."
Danny Elfman,Dolores Claiborne,1995,composer,7.4,"Crime, Drama, Mystery, Thriller",Taylor Hackford,"Instead of heading to Arizona for her next big story in what has been her illustrious career in her relatively young life, New York based investigative journalist Selena St. George heads to her hometown on a small island just off the coast of Jonesport, Maine upon receiving a fax from an anonymous sender that her mother, Dolores Claiborne, is the only suspect in what looks to be the murder of her wealthy employer of twenty-three years, Vera Donovan. Dolores, who reassumed her maiden name following the death of Selena's father, Joe St. George, started working as one of Vera's domestics upon her moving permanently into what used to be the Donovans' summer house after Jack Donovan's passing, Dolores ultimately moving into the Donovan house full time as her caregiver when Vera required 'round the clock care. Dolores' employment, which was solely to save money for Selena's education, was despite miserly and overly particular Vera only paying a pittance. Selena has been estranged from Dolores for fifteen years, when Selena went away to college at Vassar on a full scholarship, on Selena's belief not only that her mother killed her father when she was thirteen - the death ultimately ruled accidental - but the trauma she endured at the hands of townsfolk who believed the same in their often anonymous taunts. Selena still suffers emotionally from the trauma, she resorting to various means of self-medication. Detective John Mackey, who led the investigation, believed the same, this case the only blemish in his otherwise perfect career. He, leading the investigation into Vera's death, has seemingly had it in for Dolores for eighteen years, and already has it in his mind that if she could kill Joe, she could just as easily have killed Vera, with a strong underlying motive beyond the seemingly open dislike the two had for each other in their mutual name calling. As Dolores and Selena are forced to move back into what has largely been the closed-up St. George house for however long Selena will be staying on the island, old memories come back to haunt both of them, with the truth behind what happened eighteen years ago and thus what happened with Vera buried deep within those memories in the house."
Danny Elfman,Black Beauty,1994,composer,6.6,"Adventure, Drama, Family, Romance",Caroline Thompson,"Black Beauty, a beautiful black stallion in 1870s England, recalls his life from his birth through his carefree life as a colt to the many hardships he suffered after achieving maturity. He goes through many owners, both good and bad, until he finally finds happiness and contentment."
Danny Elfman,The Nightmare Before Christmas,1993,composer,7.9,"Animation, Family, Fantasy, Musical",Henry Selick,"Jack Skellington, the pumpkin king of Halloween Town, is bored with doing the same thing every year for Halloween. One day he stumbles into Christmas Town, and is so taken with the idea of Christmas that he tries to get the resident bats, ghouls, and goblins of Halloween Town to help him put on Christmas instead of Halloween -- but alas, they can't get it quite right."
Danny Elfman,Sommersby,1993,composer,6.2,"Drama, Mystery, Romance",Jon Amiel,"Set in the south of the United States just after the Civil War, Laurel Sommersby is just managing to work the farm without her husband Jack, believed killed in the Civil War. By all accounts, Jack Sommersby was not a pleasant man, thus when he returns, Laurel has mixed emotions. It appears that Jack has changed a great deal, leading some people to believe that this is not actually Jack but an impostor. Laurel herself is unsure, but willing to take the man into her home, and perhaps later into her heart..."
Danny Elfman,Batman Returns,1992,composer,7.1,"Action, Crime, Fantasy",Tim Burton,"In the sewers of Gotham City to the rooftops of the Gotham City, the Penguin (Danny DeVito) wants to know from where he came. Catwoman (Michelle Pfeiffer) plans to kill rich man of Gotham Max Shreck (Christopher Walken) but as he battles with millionaire Bruce Wayne (Michael Keaton) both ladies' men have their own secrets. Bruce Wayne is back as Batman trying to stop the penguin; Max is helping Penguin steal Gotham City while Selina Kyle/Catwoman tries to help Penguin not knowing her man murder target also her murder is helping him but all four men have their goals taking Gotham from crime-winning Gotham City assassination for two men and more money to be Gotham City's number one rich man."
Danny Elfman,Article 99,1992,composer,6.1,"Comedy, Drama",Howard Deutch,"A group of doctors in a veteran's hospital must contend with their hopeless situation: too many patients and not enough beds. The main cause of their problems is bureaucratic belt-tightening by the hospital administrators. The doctors are determined to give the best service they can, even if that means defying the orders of management and performing unauthorized operations."
Danny Elfman,Liquid Television,1991,composer,8,"Animation, Comedy, Crime, Horror, Music, Sci-Fi",,"A collection of animated shorts, from a variety of non- mainstream producers, in a wide range of styles, including traditional ink and paint, claymation and computer graphics. Some of the shorts were satirical, some psychedelic, and some just weird. A few of these shorts (most notably Beavis & Butthead) gained a wide following and eventually grew to become full series of their own."
Danny Elfman,Edward Scissorhands,1990,composer,7.9,"Drama, Fantasy, Romance",Tim Burton,"In a castle high on top of a hill lives an inventor's greatest creation - Edward, a near-complete person. The creator died before he could finish Edward's hands; instead, he is left with metal scissors for hands. Since then, he has lived alone, until a kind lady called Peg discovers him and welcomes him into her home. At first, everyone welcomes him into the community, but soon things begin to take a change for the worse."
Danny Elfman,Darkman,1990,composer,6.4,"Action, Sci-Fi, Thriller",Sam Raimi,"Peyton Westlake is a scientist who has discovered a way to produce synthetic skin. This could revolutionise skin grafting, except for one minor glitch; the synthetic skin degrades after 100 minutes of exposure to light. When gangsters attack Peyton, he is horrifically burnt, and assumed dead. In his quest for revenge, Peyton, aka the Darkman, is able to take on the appearance of anyone (using the synthetic skin,) but he only has 100 minutes per disguise."
Danny Elfman,Dick Tracy,1990,composer,N/A,N/A,N/A,N/A
Danny Elfman,Nightbreed,1990,composer,6.5,"Action, Fantasy, Horror",Clive Barker,"A community of mutant outcasts of varying types and abilities attempts to escape the attention of a psychotic serial killer and redneck vigilantes with the help of a brooding young man who discovers them. Based on the novel ""Cabal"" by Clive Barker."
Danny Elfman,Batman,1989,composer,7.5,"Action, Adventure",Tim Burton,"Gotham City. Crime boss Carl Grissom (Jack Palance) effectively runs the town but there's a new crime fighter in town - Batman (Michael Keaton). Grissom's right-hand man is Jack Napier (Jack Nicholson), a brutal man who is not entirely sane... After falling out between the two Grissom has Napier set up with the Police and Napier falls to his apparent death in a vat of chemicals. However, he soon reappears as The Joker and starts a reign of terror in Gotham City. Meanwhile, reporter Vicki Vale (Kim Basinger) is in the city to do an article on Batman. She soon starts a relationship with Batman's everyday persona, billionaire Bruce Wayne."
Danny Elfman,Scrooged,1988,composer,6.9,"Comedy, Drama, Fantasy, Romance",Richard Donner,"Francis Xavier Cross is a cynical, mean spirited television executive, he treats his loyal assistant with contempt. He just sacked a member of staff on Christmas Eve for simply disagreeing with him, and he's alienated himself from his brother who still insists on inviting Frank to Christmas dinner despite him refusing to go every year. However, Frank is forced to learn the true meaning of Christmas when he's visited by three ghosts."
Danny Elfman,Hot to Trot,1988,composer,4.4,"Comedy, Fantasy",Michael Dinner,Fred P. Chaney receives as inheritance after the death of his mother a speaking horse that also has good knowledge about the stock-market. With the help of this horse Fred gains a lot at the stock-market of Chicago.
Danny Elfman,Big Top Pee-wee,1988,composer,5.1,"Adventure, Comedy, Romance",Randal Kleiser,"In the sequel to ""Pee Wee's Big Adventure"", Pee-Wee Herman has had enough with the fame and constant media attention he received after the events of the first movie, so he's now a simple farmer living quietly in a small town. But after a big storm blows their way, a circus ends up at Pee Wee's farm. So he lets the circus stay at his farm for a while. The circus decides to put on a show with one lovable star, Pee-Wee! Also, a love triangle develops between Pee-Wee, his nice fiancée Winnie, who's the local schoolteacher, and mysterious loner Gina, the circus' attractive trapeze artist. The outcome of this subplot is somewhat unexpected."
Danny Elfman,Midnight Run,1988,composer,7.5,"Action, Comedy, Crime, Thriller",Martin Brest,"Bounty hunter Jack Walsh (Robert De Niro) is sent to find and return bail jumper and former Mafia accountant, Jonathan ""The Duke"" Mardukas (Charles Grodin). The FBI has had no success in locating The Duke, so when Jack finds him in next to no time, they are a little embarrassed. In order to collect his $100,000 fee, Jack must take The Duke from New York to Los Angeles. However, the Mafia and the FBI have other ideas, as does Marvin Dorfler (John Ashton), a rival bounty hunter. On their long cross-country trip to LA, the two get to know each other and they build up a strange friendship."
Danny Elfman,Beetlejuice,1988,composer,7.5,"Comedy, Fantasy",Tim Burton,"Adam and Barbara are a normal couple...who happen to be dead. They have given their precious time to decorate their house and make it their own, but unfortunately a family is moving in, and not quietly. Adam and Barbara try to scare them out, but end up becoming the main attraction to the money making family. They call upon Beetlejuice to help, but Beetlejuice has more in mind than just helping."
Danny Elfman,Summer School,1987,composer,6.6,"Comedy, Romance",Carl Reiner,"A high-school gym teacher has big plans for the summer, but is forced to cancel them to teach a ""bonehead"" English class for misfit goof-off students. Fortunately, his unconventional brand of teaching fun field trips begins to connect with them, and even inspires ardor in some."
Danny Elfman,Face Like a Frog,1987,composer,7.3,"Animation, Short",Sally Cruikshank,N/A
Danny Elfman,Amazing Stories,1985,composer,7.4,"Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",,N/A
Danny Elfman,Wisdom,1986,composer,5.7,"Crime, Drama",Emilio Estevez,"Unable to find work after a past felony, graduate John Wisdom and his girlfriend (Moore) embark on a cross-country bank-robbing spree in order to aid American farmers (Just call him Robin Hood)."
Danny Elfman,Pee-wee's Playhouse,1986,composer,8.1,"Comedy, Family, Musical",,"Each show, Pee-Wee Herman comes to his wonderful playhouse where anything can happen. Whether it be screaming at the secret word, entertaining friends like Cowboy Curtis and Ms. Yvonne, or enjoying animation clips presented by the King of Cartoons or the stories of the claymation girl, Penny; there's always lots of fun things to do."
Danny Elfman,Amazing Stories,1986,composer,7,"Adventure, Fantasy, Sci-Fi","William Dear, Steven Spielberg, Robert Zemeckis",N/A
Danny Elfman,Back to School,1986,composer,6.6,"Comedy, Romance, Sport",Alan Metter,"Millionaire businessman Thornton Melon is upset when his son Jason announces that he is not sure about going to college. Thornton insists that college is the best thing he never had for himself, and to prove his point, he agrees to enroll in school along with his son. Thornton is a big hit on campus: always throwing the biggest parties, knowing all the right people, but is this the way to pass college?"
Danny Elfman,Alfred Hitchcock Presents,1986,composer,7.7,"Crime, Drama, Mystery, Thriller",,An anthology series modeled after and frequently based upon the original series of the 1950s-1960s. This version featured remakes of episodes from the original series as well as original stories.
Danny Elfman,Pee-wee's Big Adventure,1985,composer,7,"Adventure, Comedy, Family",Tim Burton,"The cartoonish and childish character Pee-wee Herman goes on a big adventure for the first time ever when his beloved shiny new bicycle is stolen by his nemesis Francis Buxton, a fellow man-child and neighborhood rich ""kid."" And he sets off on an obsessive cross-country journey, determined to recover it. Pee-wee's awkward and childish attempts to be cool and mature."
Danny Elfman,Forbidden Zone,1980,composer,6.5,"Comedy, Fantasy, Musical",Richard Elfman,"A mysterious door in the basement of the Hercules house leads to the Sixth Dimension by way of a gigantic set of intestine. When Frenchy slips through the door, King Fausto falls in love with her. The jealous Queen Doris takes Frenchy prisoner, and it is up to the Hercules family and friend Squeezit Henderson to rescue her."
Danny Elfman,The Nightmare Before Christmas in Concert at the Hollywood Bowl,2018,actor,8,Musical,"Richard Kraft, Kenneth Shapiro",N/A
Danny Elfman,DemiUrge Emesis,2010,actor,7.2,"Animation, Short, Fantasy, Horror, Sci-Fi",Aurelio Voltaire,N/A
Danny Elfman,Proud Iza,2008,actor,8.2,"Short, Drama",Anna Condo,N/A
Danny Elfman,Corpse Bride,2005,actor,7.4,"Animation, Drama, Family, Fantasy, Musical, Romance","Tim Burton, Mike Johnson","Set back in the late 1800s in a Victorian village, a man and woman by the names of Victor Van Dort and Victoria Everglot are betrothed because the Everglots need the money or else they'll be living on the streets and the Van Dorts want to be high in society. But when things go wrong at the wedding rehearsal, Victor goes into the woods to practice his vows. Just as soon as he gets them right, he finds himself married to Emily, the corpse bride. While Victoria waits on the other side, there's a rich newcomer that may take Victor's place. So two brides, one groom, who will Victor pick?"
Danny Elfman,Charlie and the Chocolate Factory,2005,actor,6.7,"Adventure, Comedy, Family, Fantasy, Musical",Tim Burton,"When Willy Wonka decides to let five children into his chocolate factory, he decides to release five golden tickets in five separate chocolate bars, causing complete mayhem. The tickets start to be found, with the fifth going to a very special boy, called Charlie Bucket. With his Grandpa, Charlie joins the rest of the children to experience the most amazing factory ever. But not everything goes to plan within the factory."
Danny Elfman,The Gift,2000,actor,6.7,"Drama, Fantasy, Horror, Mystery",Sam Raimi,"When Jessica King goes missing, all eyes turn to Annabelle Wilson. Not as a murder suspect, but as a clairvoyant. Many of the towns folk go to Annabelle for help, and Jessica's fiancée, Wayne Collins, turns to Annabelle for possible guidance. Annabelle feels that she can't help, but this doesn't stop her from constantly getting visions of Jessica's fate."
Danny Elfman,Oingo Boingo: Insanity,1994,actor,N/A,Music,,N/A
Danny Elfman,The Nightmare Before Christmas,1993,actor,7.9,"Animation, Family, Fantasy, Musical",Henry Selick,"Jack Skellington, the pumpkin king of Halloween Town, is bored with doing the same thing every year for Halloween. One day he stumbles into Christmas Town, and is so taken with the idea of Christmas that he tries to get the resident bats, ghouls, and goblins of Halloween Town to help him put on Christmas instead of Halloween -- but alas, they can't get it quite right."
Danny Elfman,Oingo Boingo: Out of Control,1990,actor,N/A,Music,,N/A
Danny Elfman,Oingo Boingo: Skeletons in the Closet,1989,actor,8.9,"Short, Music","Richard Elfman, David Hogan, Stephen R. Johnson, Graeme Whifler",N/A
Danny Elfman,Oingo Boingo: Dead Man's Party,1986,actor,N/A,Music,,N/A
Danny Elfman,Oingo Boingo: Just Another Day,1986,actor,N/A,Music,Stephen R. Johnson,N/A
Danny Elfman,Oingo Boingo: Stay,1986,actor,7.7,Music,David Hogan,"Official music video for the hit single ""Stay"", from the group Oingo Boingo and released on their album ""Dead Man's Party"". It shows a group of people and couple at a diner until the arrival of Oingo Boingo creating a spectacular performance that captivates everybody."
Danny Elfman,Back to School,1986,actor,6.6,"Comedy, Romance, Sport",Alan Metter,"Millionaire businessman Thornton Melon is upset when his son Jason announces that he is not sure about going to college. Thornton insists that college is the best thing he never had for himself, and to prove his point, he agrees to enroll in school along with his son. Thornton is a big hit on campus: always throwing the biggest parties, knowing all the right people, but is this the way to pass college?"
Danny Elfman,Oingo Boingo: Weird Science,1985,actor,7.4,Music,Ian Fletcher,"Oingo Boingo's theme song from John Hughes classic comedy ""Weird Science"" has a music that gets the film concept/story of the scientific and unusual experiment of creating a perfect woman. In it, lead singer Danny Elfman is a crazed scientist who along with his band mates joins bits and pieces of objects, throw into a computer searching for their ideal just like the teens in the movie."
Danny Elfman,Danny Elfman: Gratitude,1984,actor,N/A,Music,Graeme Whifler,N/A
Danny Elfman,Oingo Boingo: Nothing Bad Ever Happens,1983,actor,N/A,Music,Richard Elfman,N/A
Danny Elfman,Oingo Boingo: Private Life,1982,actor,N/A,Music,Richard Elfman,N/A
Danny Elfman,Longshot,1981,actor,4.8,"Comedy, Drama, Sport",E.W. Swackhamer,Leif Garrett as a young foosball player who wants to earn the big dollars that will be used to play soccer in Europe by winning the foosball world championships.
Danny Elfman,Oingo Boingo: Little Girls,1981,actor,7.4,Music,Richard Elfman,N/A
Danny Elfman,Forbidden Zone,1980,actor,6.5,"Comedy, Fantasy, Musical",Richard Elfman,"A mysterious door in the basement of the Hercules house leads to the Sixth Dimension by way of a gigantic set of intestine. When Frenchy slips through the door, King Fausto falls in love with her. The jealous Queen Doris takes Frenchy prisoner, and it is up to the Hercules family and friend Squeezit Henderson to rescue her."
Danny Elfman,I Never Promised You a Rose Garden,1977,actor,6.4,"Drama, Fantasy",Anthony Page,"Based very loosely on the intricate novel by Joanne Greenberg. A young woman's devotion to a childhood fantasy kingdom has taken over her entire life and causes her endless pain and degradation. Placed in a mental hospital, she has the great good fortune to have a truly caring therapist who tries to help her accept reality, even though reality isn't so great either."
Danny Elfman,Hot Tomorrows,1977,actor,6.9,Drama,Martin Brest,N/A
Danny Elfman,Ken & Barbie,N/A,soundtrack,N/A,Fantasy,,N/A
Danny Elfman,The Flash,N/A,soundtrack,6.7,"Action, Adventure, Fantasy, Sci-Fi",Andy Muschietti,"Barry Allen is struck by a bolt of lightning and thus, an extraordinary power is born inside him: The Speed Force. When he uses this power to run back in time and save his mother, he creates a world without heroes and General Zod has returned. To defeat him, his only hope rests in the hands of a retired Batman, another Barry and an imprisoned kryptonian."
Danny Elfman,CBS News Sunday Morning with Jane Pauley,2023,soundtrack,7.9,"News, Talk-Show",,"The news show that does personal interest pieces, and has done since 1979. Anything from interviews with actors, political figures, athletes, musicians, costume designers, fashion designers, restaurant owners, charity heads, kids with special talents, everything you can think of. It is going on since Charles Karault started in the early years, and Charles Osgood picked up where he left off to retire."
Danny Elfman,Diminishing Returns,N/A,soundtrack,5,"Comedy, Talk-Show","Sol Harris, Allen Turing, Calvin Dyson, Gareth Allen",N/A
Danny Elfman,Wednesday,2022,soundtrack,8.1,"Comedy, Crime, Fantasy, Mystery",,"A sleuthing, supernaturally infused mystery charting Wednesday Addams' years as a student at Nevermore Academy. Wednesday's attempts to master her emerging psychic ability, thwart a monstrous killing spree that has terrorized the local town, and solve the supernatural mystery that embroiled her parents 25 years ago - all while navigating her new and very tangled relationships at Nevermore."
Danny Elfman,Dancing with the Stars,2013,soundtrack,4.8,"Family, Music, Reality-TV",,N/A
Danny Elfman,Solar Opposites,2022,soundtrack,8,"Animation, Adventure, Comedy, Sci-Fi",,"Escaping Planet Shlorp before the Asteroid hit, Terry, Korvo and their two Replicants crash land on Earth stranding them on a world that they must terraform: with their mysterious 'pet' Pupa. These aliens become a dysfunctional family stuck in suburban America and can't agree whether living on Earth is an awesome or horrible prospect."
Danny Elfman,Growing Up Kylee,2017,music department,N/A,"Documentary, Short",Ester Brym,N/A
Danny Elfman,The Simpsons,1989,music department,8.7,"Animation, Comedy",,"This is an animated sitcom about the antics of a dysfunctional family. Homer is the oafish unhealthy beer loving father, Marge is the hardworking homemaker wife, Bart is the perpetual ten-year-old underachiever (and proud of it), Lisa is the unappreciated eight-year-old genius, and Maggie is the cute, pacifier loving silent infant."
Danny Elfman,Batman: The Adventures Continue,2020,music department,N/A,Adventure,,N/A
Danny Elfman,Maggie Simpson in Rogue Not Quite One,2023,music department,5.6,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi",David Silverman,N/A
Danny Elfman,Wednesday,2022,music department,8.1,"Comedy, Crime, Fantasy, Mystery",,"A sleuthing, supernaturally infused mystery charting Wednesday Addams' years as a student at Nevermore Academy. Wednesday's attempts to master her emerging psychic ability, thwart a monstrous killing spree that has terrorized the local town, and solve the supernatural mystery that embroiled her parents 25 years ago - all while navigating her new and very tangled relationships at Nevermore."
Danny Elfman,Next Exit,2022,music department,5.6,"Comedy, Mystery, Romance, Sci-Fi",Mali Elfman,"When a research scientist makes national news proving she can track people into the afterlife, Rose sees a way out and Teddy sees his chance to finally make it. These two strangers, both harboring dark secrets, race to join the doctor's contentious study and leave this life behind. While Rose is haunted by a ghostly presence that she can't outrun, Teddy is forced to confront his past. As these two misfits humorously quarrel their way across the country, they meet people along the way who force them to reckon with what is really driving them."
Danny Elfman,When Billie Met Lisa,2022,music department,5.2,"Animation, Short, Comedy, Music",David Silverman,N/A
Danny Elfman,Spider-Man: No Way Home,2021,music department,8.2,"Action, Adventure, Fantasy, Sci-Fi",Jon Watts,"Peter Parker's secret identity is revealed to the entire world. Desperate for help, Peter turns to Doctor Strange to make the world forget that he is Spider-Man. The spell goes horribly wrong and shatters the multiverse, bringing in monstrous villains that could destroy the world."
Danny Elfman,The Simpsons in Plusaversary,2021,music department,5.1,"Animation, Short, Comedy",David Silverman,N/A
Danny Elfman,The Force Awakens from Its Nap,2021,music department,6.1,"Animation, Short, Comedy, Family, Sci-Fi",David Silverman,"In a daycare far, far away - but still in Springfield, Maggie is on an epic quest for her stolen pacifier. Her adventure brings her face-to-face with young Padawans, Sith Lords, familiar droids, Rebel scum, and an ultimate battle against the dark side, in this original short celebrating the Star Wars galaxy."
Danny Elfman,The Nightmare Before Christmas in Concert,2020,music department,7.5,"Family, Musical",James Monroe Iglehart,"The Actors Fund and the Lymphoma Research Foundation are proud to announce a one-night-only virtual Halloween benefit concert presentation of the songs from Tim Burton's The Nightmare Before Christmas, Disney's classic animated film, as interpreted by some of Broadway's most ghoulishly talented artists. The evening will be presented by Tony Award winner James Monroe Iglehart, in cooperation with Tim Burton, Danny Elfman and Disney Music Group. The terrifyingly tantalizing one-night-only event will be available to stream for 24 hours, beginning Saturday, October 31 at 7 pm ET. James Monroe Iglehart, who dazzled audiences as the Genie in his Tony Award-winning performance in Disney Theatrical's Aladdin, and his Broadway friends, using only items and clothing found around their house combined with their imaginations, will bring this delightful evening of music, storytelling and Halloween fun to life for one-night-only."
Danny Elfman,Playdate with Destiny,2020,music department,6.7,"Animation, Short, Comedy, Family, Romance",David Silverman,"Maggie and Marge are having a play-date at Springfield's finest toddler play park when Maggie becomes smitten with a little boy. It's love at first suck and Maggie dreams about seeing him again after a day full of make-believe romance. But when Homer is on baby duty the next day and takes Maggie to a different park with food trucks, she worries that she may never see her true love again - until she takes matters into her own hands."
Danny Elfman,BaseBoys,2018,music department,6.8,"Drama, Family, Music",,N/A
Danny Elfman,"Don't Worry, He Won't Get Far on Foot",2018,music department,6.8,"Biography, Comedy, Drama",Gus Van Sant,"After Portland slacker John Callahan (Joaquin Phoenix) nearly loses his life in a car accident, the last thing he intends to do is give up drinking. But when he reluctantly enters treatment - with encouragement from his girlfriend (Rooney Mara) and a charismatic sponsor (Jonah Hill) - Callahan discovers a gift for drawing edgy, irreverent newspaper cartoons that develop a national following and grant him a new lease on life. Based on a true story, this poignant, insightful and often funny drama about the healing power of art is adapted from Callahan's autobiography and directed by two-time Oscar® nominee Gus Van Sant. Jack Black, Carrie Brownstein, Beth Ditto and Kim Gordon also star."
Danny Elfman,The Circle,N/A,music department,5.3,"Drama, Mystery, Sci-Fi, Thriller",James Ponsoldt,"When Mae is hired to work for the world's largest and most powerful tech and social media company, she sees it as an opportunity of a lifetime. As she rises through the ranks, she is encouraged by the company's founder, Eamon Bailey, to engage in a groundbreaking experiment that pushes the boundaries of privacy, ethics and ultimately her personal freedom. Her participation in the experiment, and every decision she makes, begin to affect the lives and future of her friends, family and that of humanity."
Danny Elfman,When We Rise,2017,music department,7.5,Drama,,"A dramatization of the real life San Francisco centered fight for LGBT rights from 1972 to 2015 is presented, the LGBT community which arguably has had the most numerous organized campaigns against them of any minority group to suppress those rights in the United States during that time period. It focuses on the advocacy and other supportive work of four individuals, Cleve Jones, Roma Guy, Diane Jones and Ken Jones, whose experiences focus on different aspects of the issue. Cleve's story focuses primarily on the political and legislative fight for gay and ultimately LGBT rights. Roma's story focuses primarily on her fight for women's rights, especially safe places for women, within that where she as a lesbian fits, ultimately a fight for universal health care in San Francisco, and her personal relationships particularly with Diane. Beyond that relationship with Roma, Diane's story focuses on her work as a nurse in caring for AIDS patients, and her want as a lesbian to have a child. And Ken's story focuses on his search for the LGBT community's place within organized religion, and his longtime relationship with child welfare worker Richard, who hid behind a heterosexual marriage to protect his livelihood. Key events and the LGBT community reaction to these events in this collective fight are presented, such as the Equal Rights Amendment movement, the push to get gay Harvey Milk elected to San Francisco public office (he who would be the first openly homosexual person to hold public office in the US), the vote on Proposition 6 in California in conjunction with singer and Florida orange juice spokesperson Anita Bryant's anti-gay crusade, the murders of Milk and San Francisco mayor George Moscone, the AIDS crisis, the AIDS memorial quilt which was not supported by the entire gay community, the disillusionment with President Bill Clinton's administration with ""Don't Ask, Don't Tell"" and the Defense of Marriage Act (DOMA) enacted under his watch, and the vote on Proposition 8 in California which ultimately led to a fight at the United States Supreme Court for complete civil rights for the LGBT community throughout the nation."
Danny Elfman,Justice League Action,2017,music department,7.5,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",,N/A
Danny Elfman,Fifty Shades Darker,2017,music department,4.6,"Drama, Romance, Thriller",James Foley,"Christian and Ana decide to rekindle their relationship, except this time there are no more rules or punishments. As they begin to get used to their newfound relationship, Christian's past begins to haunt Ana as Christian struggles with his innermost thoughts."
Danny Elfman,The Girl on the Train,2016,music department,6.5,"Crime, Drama, Mystery, Thriller",Tate Taylor,"The Girl on the Train is the story of Rachel Watson's life post-divorce. Every day, she takes the train in to work in New York, and every day the train passes by her old house. The house she lived in with her husband, who still lives there, with his new wife and child. As she attempts to not focus on her pain, she starts watching a couple who live a few houses down -- Megan and Scott Hipwell. She creates a wonderful dream life for them in her head, about how they are a perfect happy family. And then one day, as the train passes, she sees something shocking, filling her with rage. The next day, she wakes up with a horrible hangover, various wounds and bruises, and no memory of the night before. She has only a feeling: something bad happened. Then come the TV reports: Megan Hipwell is missing. Rachel becomes invested in the case and trying to find out what happened to Megan, where she is, and what exactly she herself was up to that same night Megan went missing."
Danny Elfman,Live from Lincoln Center,2015,music department,8.7,"Music, Musical",,N/A
