cname,tname,year,role,,,,
Danny Elfman,Unsound,2007,composer,,,,
Danny Elfman,The Kingdom,2007,composer,,,,
Danny Elfman,Meet the Robinsons,2007,composer,,,,
Danny Elfman,Arkham Asylum Fan Film,2007,composer,,,,
Danny Elfman,Charlotte's Web,2006,composer,,,,
Danny Elfman,Nacho Libre,2006,composer,,,,
Danny Elfman,Deep Sea,2006,composer,,,,
Danny Elfman,Shadows of the Bat: The Cinematic Saga of the Dark Knight - Dark Side of the Knight,2005,composer,,,,
Danny Elfman,Corpse Bride,2005,composer,,,,
Danny Elfman,Charlie and the Chocolate Factory,2005,composer,,,,
Danny Elfman,No Experience Needed,2005,composer,,,,
Danny Elfman,Spider-Man 2,2004,composer,,,,
Danny Elfman,Big Fish,2003,composer,,,,
Danny Elfman,Hulk,2003,composer,,,,
Danny Elfman,Red Dragon,2002,composer,,,,
Danny Elfman,Men in Black II,2002,composer,,,,
Danny Elfman,Spider-Man,2002,composer,,,,
Danny Elfman,The World of Stainboy,2000,composer,,,,
Danny Elfman,Planet of the Apes,2001,composer,,,,
Danny Elfman,Mazer World,2001,composer,,,,
Danny Elfman,Spy Kids,2001,composer,,,,
Danny Elfman,The Family Man,2000,composer,,,,
Danny Elfman,Proof of Life,2000,composer,,,,
Danny Elfman,Sleepy Hollow,1999,composer,,,,
Danny Elfman,Anywhere But Here,1999,composer,,,,
Danny Elfman,Instinct,1999,composer,,,,
Danny Elfman,A Civil Action,1998,composer,,,,
Danny Elfman,A Simple Plan,1998,composer,,,,
Danny Elfman,Good Will Hunting,1997,composer,,,,
Danny Elfman,Flubber,1997,composer,,,,
Danny Elfman,Men in Black,1997,composer,,,,
Danny Elfman,Mars Attacks!,1996,composer,,,,
Danny Elfman,Extreme Measures,1996,composer,,,,
Danny Elfman,Secrets of the Cryptkeeper's Haunted House,1996,composer,,,,
Danny Elfman,Nissan: Dream Garage,1996,composer,,,,
Danny Elfman,The Frighteners,1996,composer,,,,
Danny Elfman,Mission: Impossible,1996,composer,,,,
Danny Elfman,Freeway,1996,composer,,,,
Danny Elfman,Dead Presidents,1995,composer,,,,
Danny Elfman,To Die For,1995,composer,,,,
Danny Elfman,Dolores Claiborne,1995,composer,,,,
Danny Elfman,Black Beauty,1994,composer,,,,
Danny Elfman,The Nightmare Before Christmas,1993,composer,,,,
Danny Elfman,Sommersby,1993,composer,,,,
Danny Elfman,Batman Returns,1992,composer,,,,
Danny Elfman,Article 99,1992,composer,,,,
Danny Elfman,Liquid Television,1991,composer,,,,
Danny Elfman,Edward Scissorhands,1990,composer,,,,
Danny Elfman,Darkman,1990,composer,,,,
Danny Elfman,Dick Tracy,1990,composer,,,,
Danny Elfman,Nightbreed,1990,composer,,,,
Danny Elfman,Batman,1989,composer,,,,
Danny Elfman,Scrooged,1988,composer,,,,
Danny Elfman,Hot to Trot,1988,composer,,,,
Danny Elfman,Big Top Pee-wee,1988,composer,,,,
Danny Elfman,Midnight Run,1988,composer,,,,
Danny Elfman,Beetlejuice,1988,composer,,,,
Danny Elfman,Summer School,1987,composer,,,,
Danny Elfman,Face Like a Frog,1987,composer,,,,
Danny Elfman,Amazing Stories,1985,composer,,,,
Danny Elfman,Wisdom,1986,composer,,,,
